Spreadsheet tab,Spreadsheet tab description,Element or value display name,Description,Data type,Unit,Calculation,Format,Low Value,High Value,Acceptable values,Required,Accepts null value
ExperUnits,Experimental units or plot identification,Exp Unit ID,Automatically combines experimental units to produce unique identifiers,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
ExperUnits,Experimental units or plot identification,Treatment ID,Treatment identifier for each experimental unit within a site,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
ExperUnits,Experimental units or plot identification,Field ID,Unique field identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
ExperUnits,Experimental units or plot identification,Start Date,The date the experiment began,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
ExperUnits,Experimental units or plot identification,End Date,The date the experiment ended,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
ExperUnits,Experimental units or plot identification,Change in Management,"If management or treatments of the experimental unit changed, those adjustments are specified here ",CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
ExperUnits,Experimental units or plot identification,Soil Series,"The soil series name of the study site, consistent with the NRCS official soil series descriptions",CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
ExperUnits,Experimental units or plot identification,Soil Classification,The soil classification or soil classification system of the study site. Specify if using FAO or other system.,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
ExperUnits,Experimental units or plot identification,Landscape Position,sideslope | summit | toeslope | NA,CHARACTER,NA,NA,NA,NA,NA,N/A | Sideslope | Summit | Toeslope,N,Y
ExperUnits,Experimental units or plot identification,Latitude,Latitude in decimal format in North America specified out to 6 decimal places,NUMERIC,decimal degrees,NA,-75,75,NA,NA,N,Y
ExperUnits,Experimental units or plot identification,Longitude,Longitude in decimal format in North America specified out to 6 decimal places,NUMERIC,decimal degrees,NA,-180,180,NA,NA,N,Y
ExperUnits,Experimental units or plot identification,Slope %,Slope percent,INTEGER,%,NA,0,10,NA,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 20,N,Y
ExperUnits,Experimental units or plot identification,Exp Unit Size m2,The area of the experimental unit,NUMERIC,m2,NA,0,999999,NA,NA,N,Y
WeatherStation,Where the weather station is located,Site ID,"Required. Where data was collected. Enter a 2 digit state, 2 digit city/town code with up to 4 additional characters for unique experimental ID with no spaces or special characters. E.g., MNMOBRR1 representing Minnesota, Morris, Field BRR1.",CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
WeatherStation,Where the weather station is located,Field ID,The field ID the weather station is associated with,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
WeatherStation,Where the weather station is located,Date,The date the weather station began collecting the data,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
WeatherStation,Where the weather station is located,Weather Station ID,A unique value for each weather station,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
WeatherStation,Where the weather station is located,Weather Latitude decimal deg,Latitude in decimal format in North America specified out to 6 decimal places,NUMERIC,decimal degrees,NA,-75,75,NA,NA,N,Y
WeatherStation,Where the weather station is located,Weather Longitude decimal deg,Longitude in decimal format in North America specified out to 6 decimal places,NUMERIC,decimal degrees,NA,-180,180,NA,NA,N,Y
WeatherStation,Where the weather station is located,Weather Elevation m,Elevation of the site,NUMERIC,m,NA,-50,5000,NA,NA,N,Y
WeatherStation,Where the weather station is located,Distance from Field m,Distance from plots used to the weather station,NUMERIC,m,NA,1,10000,NA,NA,N,Y
WeatherStation,Where the weather station is located,Direction from Field,Direction of the weather station in relation to the plots (e.g. NE),CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
WeatherStation,Where the weather station is located,Weather Station URL,The web site for the weather station that provided this data,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
WeatherDaily,Weather data from the site,Site ID,"Required. Where data was collected. Enter a 2 digit state, 2 digit city/town code with up to 4 additional characters for unique experimental ID with no spaces or special characters. E.g., MNMOBRR1 representing Minnesota, Morris, Field BRR1.",CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
WeatherDaily,Weather data from the site,Field ID,The field ID the weather station is associated with,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
WeatherDaily,Weather data from the site,Weather Date,Daily weather date,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
WeatherDaily,Weather data from the site,Weather time,Daily weather time,CHARACTER,NA,NA,hours:minutes,0:01,0.999988426,NA,N,Y
WeatherDaily,Weather data from the site,Weather Station ID,A unique value for each weather station,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
WeatherDaily,Weather data from the site,Temp Max degC,Maximum daily temperature,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
WeatherDaily,Weather data from the site,Temp Min degC,Minimum daily temperature,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
WeatherDaily,Weather data from the site,Precip mm/d,Daily precipitation amounts,CHARACTER,NA,mm/d ,NA,0,250,NA,N,Y
WeatherDaily,Weather data from the site,Bad Value Flag,"If weather data for a particular day are missing or suspect, a value of -999 or blank value",CHARACTER,NA,NA,NA,-999,-999,NA,N,Y
WeatherDaily,Weather data from the site,RH %,Relative humidity,NUMERIC,%,NA,NA,0,100,NA,N,Y
WeatherDaily,Weather data from the site,Dew Point degC,Dew point,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
WeatherDaily,Weather data from the site,Wind Speed m/s,Average wind speed,CHARACTER,NA,m/s,NA,0,30,NA,N,Y
WeatherDaily,Weather data from the site,Solar Radiation Veg MJ/m2/d,Solar radiation measured on vegetated ground (e.g. under grass or in crop rows),CHARACTER,NA,MJ/m2/d,NA,0,55,NA,N,Y
WeatherDaily,Weather data from the site,Solar Radiation Bare MJ/m2/d,Solar radiation measured on bare soil (e.g. between crop rows),CHARACTER,NA,MJ/m2/d,NA,0,55,NA,N,Y
WeatherDaily,Weather data from the site,Soil Temp 5cm degC,Soil temperature average to 5 cm depth,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
WeatherDaily,Weather data from the site,Soil Temp 10cm degC,Soil temperature average to 10 cm depth,NUMERIC,°C,NA,NA,-20,40,NA,N,Y
WeatherDaily,Weather data from the site,Wind Direction deg from N,Average wind direction in degrees from N,NUMERIC,NA,deg from N,NA,0,360,NA,N,Y
WeatherDaily,Weather data from the site,Open Pan Evap mm/d,Evaporation measured as open pan,NUMERIC,NA,mm/d,NA,0,15,NA,N,Y
WeatherDaily,Weather data from the site,Closed Pan Evap mm/d,Evaporation measured as closed pan,NUMERIC,NA,mm/d,NA,0,15,NA,N,Y
WeatherDaily,Weather data from the site,Atmos N Deposition kg/ha/d,Wet plus dry atmospheric Nitrogen deposition,NUMERIC,NA,kg/ha/d,NA,0,0.5,NA,N,Y
WeatherDaily,Weather data from the site,Total Net Radiation MJ/m2/d,Total solar radiation (vegetated and bare ground),NUMERIC,NA,MJ/m2/d,NA,0,55,NA,N,Y
WeatherDaily,Weather data from the site,Snow mm/d,Precipitation / day received as snow,NUMERIC,NA,mm/d,NA,0,1000,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Date,Date the amendment occurred (e.g. the fertilization day),DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Crop,Crop,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Amend Placement,Amendment placement,CHARACTER,NA,NA,NA,NA,NA,Banded Subsurface | Banded Surface | Broadcast Incorporated | Broadcast Spray | Broadcast Subsurface | Broadcast Surface | Dribbled Over Seed | Injected | N/A | Seed Coating | Surface | Surface-dribble | Direct by Animal,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Amend Depth cm,Depth at which the amendment was placed,NUMERIC,cm,NA,NA,0,50,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Amend Type,Type of amendment used,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Total Amend Amount kg/ha,Amount of the amendment used,NUMERIC,NA,kg/ha,NA,0,500,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Total N Amount kgN/ha,Weight of nitrogen,NUMERIC,NA,kg/ha,NA,0,500,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Total P Amount kgP/ha,Weight of phosphorus,NUMERIC,NA,kg/ha,NA,0,500,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Total K Amount kgK/ha,Weight of potassium,NUMERIC,NA,kg/ha,NA,0,500,NA,N,Y
