SiteID,Exp Unit ID,Sampling Year,Treatment ID,Crop,Above earshank_biomass,Above earshank_carbon_kgC/ha,Above earshank_nitrogen_kgN/ha,Below earshank_biomass,Below earshank_carbon_kgC/ha,Below earshank_nitrogen_kgN/ha,Cobs_biomass,Cobs_carbon_kgC/ha,Cobs_nitrogen_kgN/ha,Grain_biomass,Grain_carbon_kgC/ha,Grain_nitrogen_kgN/ha,Stover (all non-grain biomass)_biomass,Stover (all non-grain biomass)_carbon_kgC/ha,Stover (all non-grain biomass)_nitrogen_kgN/ha,Husk_biomass,Husk_carbon_kgC/ha,Husk_nitrogen_kgN/ha,Leaves_biomass,Leaves_carbon_kgC/ha,Leaves_nitrogen_kgN/ha,Stems_biomass,Stems_carbon_kgC/ha,Stems_nitrogen_kgN/ha,Stems and leaves_biomass,Stems and leaves_carbon_kgC/ha,Stems and leaves_nitrogen_kgN/ha,Tassel_biomass,Tassel_carbon_kgC/ha,Tassel_nitrogen_kgN/ha,Roots_biomass,Roots_carbon_kgC/ha,Roots_nitrogen_kgN/ha,Pod_biomass,Pod_carbon_kgC/ha,Pod_nitrogen_kgN/ha,Whole plant (above and belowground biomass)_biomass,Whole plant (above and belowground biomass)_carbon_kgC/ha,Whole plant (above and belowground biomass)_nitrogen_kgN/ha,Aboveground biomass_biomass,Aboveground biomass_carbon_kgC/ha,Aboveground biomass_nitrogen_kgN/ha
IAAMBRUN,IAAMBRUN_203,2011,IAAMBRUN_1,Zea mays (Corn),2119.13,916.7342696881059,15.469625910132162,1723.67,760.8284319013217,13.444634727753307,902.67,406.6531326872246,8.033768881057268,5932.27,2693.8427823845477,83.64497518525022,3067.33,1332.14,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_203,2012,IAAMBRUN_1,Zea mays (Corn),3125.5364779198458,1352.1070803481252,22.816416288814874,3931.4924250564095,1735.3607564198992,30.665640915439997,1703.6467175244443,767.4928462447621,15.162455785967554,9309.244093085108,4227.327742669947,131.2603417125,6170.18,2830.9,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_204,2008,IAAMBRUN_4,Zea mays (Corn),3485,1505,21,4478,1943,20,2062,931,8,7438.76,3212.8004439999995,77.36310399999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_204,2009,IAAMBRUN_4,Zea mays (Corn),3010.081650370689,1309.6865260762868,12.341334766519823,3376.2346448909425,1440.6393229749654,13.167315115074677,1198.0567916621899,536.3700256271625,8.026980504136672,7786.239430522393,3288.907535452659,80.19826613438066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_204,2010,IAAMBRUN_4,Zea mays (Corn),2039.86,859.3946004547665,14.0750599172511,1862.9,817.9982142178679,8.755617414766519,1785.1,827.2133511770221,14.816294378008811,5692.87,2463.875752715056,55.790162607688416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_204,2011,IAAMBRUN_4,Zea mays (Corn),2265.27,981.0899595277535,21.29357104493392,1620.51,706.0556657339208,16.36713845286344,863.98,389.1387428088106,7.68946450044053,5612.24,2547.958249391916,90.35710972513183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_204,2012,IAAMBRUN_4,Zea mays (Corn),3564.553132051145,1543.807961491351,33.506799441280755,3499.028258300205,1524.5266121413993,35.34018540883207,1539.834533147094,693.541473729451,13.704527345009136,6941.24405775146,3151.3248022191624,111.7540293297985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_301,2008,IAAMBRUN_4,Zea mays (Corn),3812,1618,27,5436,2335,28,2139,962,9,8150.89,3479.6149410000003,94.550324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_301,2009,IAAMBRUN_4,Zea mays (Corn),2556.911623509187,1110.211026927689,12.273175792844096,3539.12948103578,1521.8256768453853,14.15651792414312,1296.606201783604,587.3626094079726,7.649976590523264,7965.40361106858,3348.655678093231,77.26441502736523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_301,2010,IAAMBRUN_4,Zea mays (Corn),1735.1,733.6023717238415,11.798713641726875,1801.39,787.2060160451102,9.547349851348018,1728.74,801.7911278700267,10.372459610220266,4872.16,2105.259816740736,48.72158798289137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_301,2011,IAAMBRUN_4,Zea mays (Corn),2033.16,874.6646587770928,17.688476362995598,2144.92,940.5462918766523,20.591207302202648,1040.22,476.94108814096927,8.321763806167402,6910.79,3067.0103772,110.572704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_301,2012,IAAMBRUN_4,Zea mays (Corn),4193.59192006017,1804.0832440098852,36.48424970452348,4272.221768561299,1873.3692455141295,41.01332897818846,1919.8788009025468,880.2644302138177,15.359030407220375,8156.941318148352,3620.050556994239,130.51106109037363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
